image,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z
1.jpg,-0.038104462885925526,0.14742730191457915,0.39828326113257484,-297.9088419175298,-135.39296812792142,643.0264770747294
10.jpg,0.600925037139122,-0.2812197036149103,0.13714081334352826,-108.0730855169084,-84.13129535830384,867.3170322827187
11.jpg,0.2917358150743892,-0.6896969986968782,0.3586580594279822,-338.36324948236296,-102.5710602202528,760.0485798211397
12.jpg,0.44065785311524935,-0.03684477106098502,0.4127153730322434,-278.22973962309624,-105.07912538595859,506.702167885977
13.jpg,0.6108272674383245,-0.43881609222553797,0.3356304277234519,-225.79477962039525,-152.14231022682236,707.813516233583
14.jpg,-0.19491925667773985,-1.510955149301583,1.4282750682571306,-110.0932762681057,-385.9467670379147,1125.9753585394292
15.jpg,0.35476134801461584,-1.1229507942002321,1.3545539238766742,164.33449305227893,-243.4921153675905,979.0862001707605
16.jpg,0.32009968169216596,-0.5524054755844299,1.4618552984332702,114.8562936969249,-138.9177271470291,969.2236454949783
17.jpg,-0.13710341202456802,-0.39774745206512047,0.1055732295113042,-206.65245597918687,-92.03665911771466,882.216645672702
18.jpg,-0.21490254483558427,0.10349631180987709,0.43395058367271694,-482.09803941879363,-74.16552465611319,992.0297860324605
19.jpg,0.27106300402895533,0.05599356942790037,0.5254408491612346,-574.4814713889465,-89.28149971497822,1100.542935076734
2.jpg,0.035550478744794056,-0.013751455563993938,0.3172616343476649,-386.4736720659114,-171.2614740061133,1010.2449542497586
3.jpg,0.2699184044665155,-0.8530074347257344,0.1697427835596796,-253.50884588083736,-138.0081453850307,886.4197930012793
4.jpg,0.5331041443834386,-0.8253854106632985,0.11551027183655652,-257.3553979142468,-231.10925326083884,958.6435427520295
5.jpg,0.6101781715310829,-0.8682175859951964,0.05817308481332554,-222.32089720691314,-329.5064858941638,1016.0890891464574
6.jpg,0.13144202344134903,-0.8098922780740725,1.4122720796837012,82.49911979454933,-297.1722007966013,989.6183063518899
7.jpg,0.36273292868259743,-0.8287215639878213,1.4087569530490187,117.70290708625872,-240.1896458519777,1080.0780143207987
8.jpg,0.46067813103935096,-1.0728340045252749,1.4154859964237974,90.91679338692646,-263.04888401923114,1195.7660144400281
9.jpg,0.9660007827925753,-0.02243689310634766,0.07508150837705704,-2.774845480584422,-109.65329373247434,1002.6730672753216
